TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
Regression,W/Dim.,"Crime,Horror,Mystery",15824374,55039,15769335,20000000,-4175626,2016,30-Oct-15
White Boy Rick,Studio 8,"Crime,Drama",25947983,24004833,1943150,30000000,-4052017,2018,14-Sep-18
Father Figures,WB,"Adventure,Comedy,Drama",21038441,17501244,3537197,25000000,-3961559,2017,22-Dec-17
Father Figures,WB,Documentary,21038441,17501244,3537197,25000000,-3961559,2017,22-Dec-17
13 Sins,RTWC,"Horror,Thriller",47552,9134,38418,4000000,-3952448,2014,18-Apr-14
The Neon Demon,BG,"Horror,Thriller",3559803,1333124,2226679,7500000,-3940197,2016,24-Jun-16
Ain't Them Bodies Saints,IFC,"Crime,Drama,Romance",1075009,391611,683398,5000000,-3924991,2013,16-Aug-13
Gotti,VE,"Biography,Crime,Drama",6089100,4286367,1802733,10000000,-3910900,2018,15-Jun-18
Never Let Me Go,FoxS,Drama,11173718,2434652,8739066,15000000,-3826282,2010,15-Sep-10
Never Let Me Go,FoxS,"Drama,Romance,Sci-Fi",11173718,2434652,8739066,15000000,-3826282,2010,15-Sep-10
Labor Day,Par.,"Drama,Romance",14189810,13371528,818282,18000000,-3810190,2014,31-Jan-14
Premium Rush,Sony,"Action,Crime,Thriller",31393201,20275446,11117755,35000000,-3606799,2012,24-Aug-12
Dredd,LGF,"Action,Crime,Sci-Fi",41467606,13414714,28052892,45000000,-3532394,2012,21-Sep-12
Maggie,RAtt.,Drama,1027760,187112,840648,4500000,-3472240,2015,8-May-15
Maggie,RAtt.,"Drama,Horror",1027760,187112,840648,4500000,-3472240,2015,8-May-15
The East,FoxS,"Adventure,Drama,Thriller",3027956,2274649,753307,6500000,-3472044,2013,31-May-13
Desert Dancer,Rela.,"Biography,Drama,Music",596335,155271,441064,4000000,-3403665,2015,10-Apr-15
Jab Tak Hai Jaan,Yash,"Drama,Romance",5806666,3047539,2759127,9200000,-3393334,2012,13-Nov-12
People Like Us,BV,"Comedy,Drama",12617472,12431792,185680,16000000,-3382528,2012,29-Jun-12
People Like Us,BV,Drama,12617472,12431792,185680,16000000,-3382528,2012,29-Jun-12
Testament of Youth,SPC,"Biography,Drama,History",6646669,1822250,4824419,10000000,-3353331,2015,5-Jun-15
Stake Land,IFC,"Drama,Horror,Sci-Fi",679482,33245,646237,4000000,-3320518,2011,22-Apr-11
Blackthorn,Magn.,"Action,Adventure,Western",1217307,200558,1016749,4500000,-3282693,2011,7-Oct-11
Battle of the Year,SGem,"Drama,Music",16723377,8888355,7835022,20000000,-3276623,2013,20-Sep-13
Manglehorn,IFC,Drama,797439,132270,665169,4000000,-3202561,2015,19-Jun-15
Anna,VE,"Action,Thriller",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,Biography,1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,"Biography,Documentary",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,"Crime,Drama,Thriller",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,Drama,1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,"Drama,Mystery,Sci-Fi",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,Horror,1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Another Happy Day,P4,"Comedy,Drama",978527,9120,969407,4000000,-3021473,2011,18-Nov-11
Point Blank,Magn.,"Action,Crime,Drama",0,0,0,3000000,-3000000,2011,18-Sep-67
Point Blank,Magn.,"Action,Thriller",0,0,0,3000000,-3000000,2011,18-Sep-67
Point Blank,Magn.,"Crime,Documentary,History",0,0,0,3000000,-3000000,2011,18-Sep-67
The Gambler,Par.,"Action,Sci-Fi,Thriller",101773,51773,50000,3000000,-2898227,2014,4-Aug-99
The Gambler,Par.,"Crime,Drama,Thriller",101773,51773,50000,3000000,-2898227,2014,4-Aug-99
The Gambler,Par.,Documentary,101773,51773,50000,3000000,-2898227,2014,4-Aug-99
The Gambler,Par.,Drama,101773,51773,50000,3000000,-2898227,2014,4-Aug-99
The Gambler,Par.,"Drama,Thriller",101773,51773,50000,3000000,-2898227,2014,4-Aug-99
The Face of Love,IFC,"Drama,Mystery,Romance",1158877,385069,773808,4000000,-2841123,2014,7-Mar-14
Fun Size,Par.,"Adventure,Comedy",11166615,9409538,1757077,14000000,-2833385,2012,26-Oct-12
Freakonomics,Magn.,Documentary,172867,101270,71597,2900000,-2727133,2010,1-Oct-10
Wild Target,Free,"Action,Comedy,Crime",5314194,109338,5204856,8000000,-2685806,2010,29-Oct-10
Jem and the Holograms,Uni.,"Adventure,Drama,Family",2368937,2184640,184297,5000000,-2631063,2015,23-Oct-15
Believe,ORF,,890303,890303,0,3500000,-2609697,2013,2-Dec-16
Believe,ORF,Documentary,890303,890303,0,3500000,-2609697,2013,2-Dec-16
Believe,ORF,Drama,890303,890303,0,3500000,-2609697,2013,2-Dec-16
Believe,ORF,"Drama,Sport",890303,890303,0,3500000,-2609697,2013,2-Dec-16
Before We Go,RTWC,"Comedy,Drama,Romance",483938,37151,446787,3000000,-2516062,2015,4-Sep-15
Before We Go,RTWC,"Documentary,Drama,News",483938,37151,446787,3000000,-2516062,2015,4-Sep-15
Veronica Mars,WB,"Crime,Drama,Mystery",3485383,3322127,163256,6000000,-2514617,2014,14-Mar-14
Green Zone,Uni.,"Action,Drama,Thriller",97523020,35497337,62025683,100000000,-2476980,2010,12-Mar-10
Churchill,Cohen,Biography,7582196,1279681,6302515,10000000,-2417804,2017,2-Jun-17
Churchill,Cohen,"Biography,Drama,History",7582196,1279681,6302515,10000000,-2417804,2017,2-Jun-17
The Last Station,SPC,Documentary,15696146,6617867,9078279,18000000,-2303854,2010,15-Jan-10
The Last Station,SPC,Drama,15696146,6617867,9078279,18000000,-2303854,2010,15-Jan-10
Eden,BG,Animation,0,0,0,2300000,-2300000,2015,19-Jan-16
Eden,BG,"Biography,Drama,Music",0,0,0,2300000,-2300000,2015,19-Jan-16
Eden,BG,"Comedy,Drama",0,0,0,2300000,-2300000,2015,19-Jan-16
Eden,BG,"Crime,Drama",0,0,0,2300000,-2300000,2015,19-Jan-16
Eden,BG,Drama,0,0,0,2300000,-2300000,2015,19-Jan-16
Eden,BG,"Drama,Thriller",0,0,0,2300000,-2300000,2015,19-Jan-16
Anomalisa,Par.,"Animation,Comedy,Drama",5706168,3759286,1946882,8000000,-2293832,2015,30-Dec-15
Hotel Artemis,Global Road,"Action,Drama,Sci-Fi",12758799,6708137,6050662,15000000,-2241201,2018,8-Jun-18
Little Boy,ORF,"Drama,History,War",17769299,6485961,11283338,20000000,-2230701,2015,24-Apr-15
The D Train,IFC,"Comedy,Drama",772366,669688,102678,3000000,-2227634,2015,8-May-15
Everything Must Go,RAtt.,"Comedy,Drama",2821010,2712131,108879,5000000,-2178990,2011,13-May-11
Cedar Rapids,FoxS,Comedy,7862131,6861102,1001029,10000000,-2137869,2011,11-Feb-11
Red State,SMod,"Action,Crime,Horror",1983596,1065429,918167,4000000,-2016404,2011,23-Sep-11
The Art of Getting By,FoxS,"Drama,Romance",1989035,1430241,558794,4000000,-2010965,2011,17-Jun-11
The First Time,Gold.,"Comedy,Drama,Romance",17061,17061,0,2000000,-1982939,2012,19-Oct-12
The First Time,Gold.,Drama,17061,17061,0,2000000,-1982939,2012,19-Oct-12
Super,IFC,"Action,Comedy,Drama",593933,327716,266217,2500000,-1906067,2011,1-Apr-11
Super,IFC,Adventure,593933,327716,266217,2500000,-1906067,2011,1-Apr-11
Super,IFC,Drama,593933,327716,266217,2500000,-1906067,2011,1-Apr-11
Machete Kills,ORF,"Action,Crime,Sci-Fi",18273009,8008161,10264848,20000000,-1726991,2013,11-Oct-13
Damsels in Distress,SPC,"Comedy,Drama,Romance",1324299,1007535,316764,3000000,-1675701,2012,6-Apr-12
Danny Collins,BST,"Biography,Comedy,Drama",8465845,5637066,2828779,10000000,-1534155,2015,20-Mar-15
Legend,Uni.,"Action,Drama",23506237,15502112,8004125,25000000,-1493763,2015,18-Apr-86
Legend,Uni.,"Biography,Crime,Drama",23506237,15502112,8004125,25000000,-1493763,2015,18-Apr-86
Legend,Uni.,"Biography,Documentary",23506237,15502112,8004125,25000000,-1493763,2015,18-Apr-86
Legend,Uni.,Horror,23506237,15502112,8004125,25000000,-1493763,2015,18-Apr-86
MacGruber,Uni.,"Action,Comedy,Romance",8629895,8525600,104295,10000000,-1370105,2010,21-May-10
It's Kind of a Funny Story,Focus,"Comedy,Drama,Romance",6632950,6363628,269322,8000000,-1367050,2010,8-Oct-10
The Square,Magn.,"Comedy,Drama",176262,124244,52018,1500000,-1323738,2017,25-Oct-13
The Square,Magn.,Documentary,176262,124244,52018,1500000,-1323738,2017,25-Oct-13
The Square,Magn.,"Documentary,Drama,History",176262,124244,52018,1500000,-1323738,2017,25-Oct-13
The Square,Magn.,Family,176262,124244,52018,1500000,-1323738,2017,25-Oct-13
Four Lions,Drft.,"Comedy,Crime,Drama",2436111,310007,2126104,3750000,-1313889,2010,5-Nov-10
Dheepan,IFC,"Crime,Drama",7704357,248795,7455562,9000000,-1295643,2016,6-May-16
Green Room,A24,"Horror,Music,Thriller",3807503,3220371,587132,5000000,-1192497,2016,15-Apr-16
Hot Tub Time Machine 2,Par.,"Comedy,Mystery,Sci-Fi",12826644,12314651,511993,14000000,-1173356,2015,20-Feb-15
Chloe,SPC,"Documentary,Family",11831131,3075255,8755876,13000000,-1168869,2010,26-Mar-10
Chloe,SPC,"Drama,Music,Romance",11831131,3075255,8755876,13000000,-1168869,2010,26-Mar-10
Gods of Egypt,LG/S,"Action,Adventure,Fantasy",138836756,31153464,107683292,140000000,-1163244,2016,26-Feb-16
The Square,Magn.,"Comedy,Drama",740932,406216,334716,1900000,-1159068,2017,9-Apr-10
The Square,Magn.,Documentary,740932,406216,334716,1900000,-1159068,2017,9-Apr-10
The Square,Magn.,"Documentary,Drama,History",740932,406216,334716,1900000,-1159068,2017,9-Apr-10
The Square,Magn.,Family,740932,406216,334716,1900000,-1159068,2017,9-Apr-10
Tusk,A24,"Comedy,Drama,Horror",1887554,1821983,65571,3000000,-1112446,2014,19-Sep-14
The Collection,LD,"Action,Horror,Thriller",8890094,6810754,2079340,10000000,-1109906,2012,30-Nov-12
Higher Ground,SPC,Drama,842693,841056,1637,1800000,-957307,2011,23-Aug-11
Trance,FoxS,"Crime,Drama,Mystery",0,0,0,950000,-950000,2013,31-Dec-12
Trance,FoxS,Documentary,0,0,0,950000,-950000,2013,31-Dec-12
Trance,FoxS,Horror,0,0,0,950000,-950000,2013,31-Dec-12
Camp X-Ray,IFC,"Drama,War",101053,9837,91216,1000000,-898947,2014,17-Oct-14
American Honey,A24,"Adventure,Drama,Romance",2611750,663247,1948503,3500000,-888250,2016,30-Sep-16
Snitch,LG/S,"Action,Drama,Thriller",0,0,0,850000,-850000,2013,31-Dec-12
Warrior,LGF,Drama,24215385,13657115,10558270,25000000,-784615,2011,9-Sep-11
Warrior,LGF,"Drama,Sport",24215385,13657115,10558270,25000000,-784615,2011,9-Sep-11
Denial,BST,"Biography,Drama",9263940,4073448,5190492,10000000,-736060,2016,30-Sep-16
Denial,BST,Documentary,9263940,4073448,5190492,10000000,-736060,2016,30-Sep-16
Two Night Stand,EOne,"Comedy,Romance",868081,15600,852481,1600000,-731919,2014,26-Sep-14
Morgan,Fox,"Action,Horror,Sci-Fi",7298786,3915251,3383535,8000000,-701214,2016,2-Sep-16
Morgan,Fox,"Drama,Romance",7298786,3915251,3383535,8000000,-701214,2016,2-Sep-16
Conviction,FoxS,"Biography,Crime,Drama",11826980,6797696,5029284,12500000,-673020,2010,15-Oct-10
Conviction,FoxS,Drama,11826980,6797696,5029284,12500000,-673020,2010,15-Oct-10
The Invitation,Drft.,Documentary,354836,231738,123098,1000000,-645164,2016,8-Apr-16
The Invitation,Drft.,"Drama,Horror,Mystery",354836,231738,123098,1000000,-645164,2016,8-Apr-16
They Will Have to Kill Us First,BBC,Documentary,7943,0,7943,600000,-592057,2016,4-Mar-16
Broken City,Fox,"Crime,Drama,Thriller",34480045,19701164,14778881,35000000,-519955,2013,18-Jan-13
The Journey,IFC,,19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Adventure,Drama,Mystery",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Biography,Documentary,Drama",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Comedy,Drama",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Comedy,Drama,Family",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,Documentary,19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Documentary,Sport",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,Drama,19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,"Drama,Thriller",19800,19800,0,500000,-480200,2017,11-Jul-03
The Journey,IFC,Family,19800,19800,0,500000,-480200,2017,11-Jul-03
I Spit on Your Grave,Anch.,"Horror,Thriller",1278471,93051,1185420,1750000,-471529,2010,8-Oct-10
Table 19,FoxS,"Comedy,Drama,Romance",4620399,3614896,1005503,5000000,-379601,2017,3-Mar-17
Jackpot,DR,,44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,"Action,Comedy,Crime",44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,"Biography,Documentary",44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,Comedy,44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,"Comedy,Romance",44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,"Comedy,Thriller",44452,44452,0,400000,-355548,2014,27-Jul-01
Jackpot,DR,Drama,44452,44452,0,400000,-355548,2014,27-Jul-01
Unknown,WB,,3355048,26403,3328645,3700000,-344952,2011,3-Nov-06
Unknown,WB,"Action,Mystery,Thriller",3355048,26403,3328645,3700000,-344952,2011,3-Nov-06
Unknown,WB,Drama,3355048,26403,3328645,3700000,-344952,2011,3-Nov-06
Kill List,IFC,"Crime,Drama,Horror",462206,29063,433143,800000,-337794,2012,3-Feb-12
Only God Forgives,RTWC,"Crime,Drama",4494560,775849,3718711,4800000,-305440,2013,19-Jul-13
The Canyons,IFC,"Drama,Thriller",62375,59671,2704,250000,-187625,2013,2-Aug-13
I Origins,FoxS,"Drama,Romance,Sci-Fi",852399,336472,515927,1000000,-147601,2014,18-Jul-14
Meek's Cutoff,Osci.,"Drama,Western",1869928,977772,892156,2000000,-130072,2011,8-Apr-11
And So It Goes,CE,"Comedy,Drama,Romance",17920013,15160801,2759212,18000000,-79987,2014,25-Jul-14
Stoker,FoxS,"Drama,Thriller",12034913,1703125,10331788,12000000,34913,2013,1-Mar-13
Hugo,Par.,"Adventure,Drama,Family",180047784,73864507,106183277,180000000,47784,2011,23-Nov-11
Hugo,Par.,Documentary,180047784,73864507,106183277,180000000,47784,2011,23-Nov-11
Circumstance,RAtt.,Drama,958978,454121,504857,900000,58978,2011,26-Aug-11
Locke,A24,Drama,2088390,1370646,717744,2000000,88390,2014,25-Apr-14
Palo Alto,Trib.,Drama,1156309,767732,388577,1000000,156309,2014,9-May-14
Rubber,Magn.,"Comedy,Fantasy,Horror",680914,100370,580544,500000,180914,2011,1-Apr-11
Take Shelter,SPC,"Drama,Horror,Thriller",4972016,1728953,3243063,4750000,222016,2011,30-Sep-11
Holy Motors,IM,"Drama,Fantasy",4230426,641054,3589372,4000000,230426,2012,17-Oct-12
Letters to God,Viv.,"Drama,Family",3237452,2848587,388865,3000000,237452,2010,9-Apr-10
The Future,RAtt.,"Drama,Fantasy,Romance",1239174,568662,670512,1000000,239174,2011,29-Jul-11
The Innkeepers,Magn.,"Drama,Horror,Mystery",1011535,78396,933139,750000,261535,2012,3-Feb-12
The Diary of a Teenage Girl,SPC,"Comedy,Drama,Romance",2279959,1477002,802957,2000000,279959,2015,7-Aug-15
Sound of My Voice,FoxS,"Drama,Mystery,Sci-Fi",429448,408015,21433,135000,294448,2012,27-Apr-12
Tiny Furniture,IFC,"Comedy,Drama,Romance",424149,391674,32475,50000,374149,2010,12-Nov-10
Alex Cross,LG/S,"Action,Crime,Mystery",35426759,25888412,9538347,35000000,426759,2012,19-Oct-12
Patti Cake$,FoxS,"Drama,Music",1471090,800148,670942,1000000,471090,2017,18-Aug-17
I Don't Know How She Does It,Wein.,"Comedy,Romance",24474463,9659074,14815389,24000000,474463,2011,16-Sep-11
The Dilemma,Uni.,"Comedy,Drama",70546865,48475290,22071575,70000000,546865,2011,14-Jan-11
Scouts Guide to the Zombie Apocalypse,Par.,"Action,Comedy,Horror",15554855,3703046,11851809,15000000,554855,2015,30-Oct-15
Compliance,Magn.,"Biography,Crime,Drama",830700,319285,511415,270000,560700,2012,17-Aug-12
That's My Boy,Sony,Comedy,58085235,36931089,21154146,57500000,585235,2012,15-Jun-12
Wish I Was Here,Focus,"Comedy,Drama",6591365,3591299,3000066,6000000,591365,2014,18-Jul-14
Albert Nobbs,RAtt.,"Drama,Romance",8539003,3014696,5524307,7500000,1039003,2012,21-Dec-11
Rabbit Hole,LGF,Drama,6205034,2229058,3975976,5000000,1205034,2010,17-Dec-10
Me and Earl and the Dying Girl,FoxS,"Comedy,Drama,Romance",9266180,6758416,2507764,8000000,1266180,2015,12-Jun-15
The Guilt Trip,Par.,"Comedy,Drama",41294674,37134215,4160459,40000000,1294674,2012,19-Dec-12
Shut In,EC,"Drama,Mystery,Thriller",11360665,6900335,4460330,10000000,1360665,2016,11-Nov-16
Woodlawn,PFR,"Drama,Sport",14403703,14394097,9606,13000000,1403703,2015,16-Oct-15
Friend Request,ENTMP,Horror,11310835,3759078,7551757,9900000,1410835,2017,22-Sep-17
Friend Request,ENTMP,"Horror,Thriller",11310835,3759078,7551757,9900000,1410835,2017,22-Sep-17
Friend Request,ENTMP,Thriller,11310835,3759078,7551757,9900000,1410835,2017,22-Sep-17
The Wall,RAtt.,"Action,Drama,Thriller",4495262,1803064,2692198,3000000,1495262,2017,12-May-17
The Wall,RAtt.,Comedy,4495262,1803064,2692198,3000000,1495262,2017,12-May-17
The Wall,RAtt.,Documentary,4495262,1803064,2692198,3000000,1495262,2017,12-May-17
The Wall,RAtt.,Drama,4495262,1803064,2692198,3000000,1495262,2017,12-May-17
The Wall,RAtt.,"Drama,Fantasy,Mystery",4495262,1803064,2692198,3000000,1495262,2017,12-May-17
Pan,WB,"Adventure,Comedy,Family",151525973,35088320,116437653,150000000,1525973,2015,9-Oct-15
Please Give,SPC,"Comedy,Drama",4570178,4033574,536604,3000000,1570178,2010,30-Apr-10
Kill the Messenger,Focus,"Biography,Crime,Drama",6656705,2450846,4205859,5000000,1656705,2014,10-Oct-14
Can You Ever Forgive Me?,FoxS,"Biography,Comedy,Crime",11752387,8803865,2948522,10000000,1752387,2018,19-Oct-18
Seeking a Friend for the End of the World,Focus,"Adventure,Comedy,Drama",11766959,7078738,4688221,10000000,1766959,2012,22-Jun-12
Another Earth,FoxS,"Drama,Romance,Sci-Fi",2102779,1321194,781585,175000,1927779,2011,22-Jul-11
The Vatican Tapes,LGF,"Horror,Thriller",14929184,1784763,13144421,13000000,1929184,2015,24-Jul-15
Samsara,Osci.,"Documentary,Music",5966671,2672413,3294258,4000000,1966671,2012,24-Aug-12
The Light Between Oceans,BV,"Drama,Romance",22281732,12545979,9735753,20000000,2281732,2016,2-Sep-16
American Ultra,LGF,"Action,Comedy,Sci-Fi",30295028,14439985,15855043,28000000,2295028,2015,21-Aug-15
Obvious Child,A24,"Comedy,Drama,Romance",3324070,3122616,201454,1000000,2324070,2014,6-Jun-14
The Meddler,SPC,"Comedy,Drama,Romance",5526942,4267219,1259723,3200000,2326942,2016,22-Apr-16
The Man Who Knew Infinity,IFC,"Biography,Drama",12382122,3877922,8504200,10000000,2382122,2016,29-Apr-16
Robot & Frank,Gold.,"Comedy,Crime,Drama",4934356,3317468,1616888,2500000,2434356,2012,17-Aug-12
A Ghost Story,A24,"Drama,Fantasy,Romance",2769782,1594798,1174984,100000,2669782,2017,7-Jul-17
Submarine,Wein.,"Comedy,Drama,Romance",4581937,467602,4114335,1900000,2681937,2011,3-Jun-11
Jack the Giant Slayer,WB (NL),"Adventure,Fantasy",197687603,65187603,132500000,195000000,2687603,2013,1-Mar-13
Prom,BV,"Comedy,Drama,Family",10763183,10130219,632964,8000000,2763183,2011,29-Apr-11
Swiss Army Man,A24,"Adventure,Comedy,Drama",5837111,4210454,1626657,3000000,2837111,2016,24-Jun-16
Your Sister's Sister,IFC,"Comedy,Drama",3090593,1597486,1493107,120000,2970593,2012,15-Jun-12
Jupiter Ascending,WB,"Action,Adventure,Sci-Fi",181982519,47482519,134500000,179000000,2982519,2015,6-Feb-15
Transcendence,WB,,103039258,23022309,80016949,100000000,3039258,2014,18-Apr-14
Transcendence,WB,"Action,Drama,Sci-Fi",103039258,23022309,80016949,100000000,3039258,2014,18-Apr-14
Transcendence,WB,Drama,103039258,23022309,80016949,100000000,3039258,2014,18-Apr-14
Cyrus,FoxS,"Comedy,Drama,Romance",10062896,7468936,2593960,7000000,3062896,2010,18-Jun-10
Cyrus,FoxS,"Crime,Horror,Mystery",10062896,7468936,2593960,7000000,3062896,2010,18-Jun-10
The 33,WB,"Biography,Drama,History",28400715,12227722,16172993,25000000,3400715,2015,13-Nov-15
A Monster Calls,Focus,"Animation,Drama,Fantasy",46414530,3740823,42673707,43000000,3414530,2016,6-Jan-17
Like Crazy,ParV,"Comedy,Drama",3728400,3395391,333009,250000,3478400,2011,28-Oct-11
Like Crazy,ParV,Drama,3728400,3395391,333009,250000,3478400,2011,28-Oct-11
Like Crazy,ParV,"Drama,Romance",3728400,3395391,333009,250000,3478400,2011,28-Oct-11
The Sweeney,EOne,"Action,Crime,Drama",8000366,26345,7974021,4500000,3500366,2013,1-Mar-13
Joyful Noise,WB,"Comedy,Drama,Music",31157914,30932113,225801,27500000,3657914,2012,13-Jan-12
Safety Not Guaranteed,FD,"Comedy,Drama,Romance",4422318,4010957,411361,750000,3672318,2012,8-Jun-12
We Need to Talk About Kevin,Osci.,"Drama,Mystery,Thriller",10765283,1738692,9026591,7000000,3765283,2011,13-Jan-12
Animal Kingdom,SPC,"Crime,Drama",8078683,1044039,7034644,4200000,3878683,2010,13-Aug-10
Animal Kingdom,SPC,"Drama,Fantasy,Horror",8078683,1044039,7034644,4200000,3878683,2010,13-Aug-10
Loving,Focus,"Biography,Drama,Romance",12898064,7710234,5187830,9000000,3898064,2016,4-Nov-16
Loving,Focus,"Drama,Romance",12898064,7710234,5187830,9000000,3898064,2016,4-Nov-16
All Saints,Affirm,Drama,5941994,5802208,139786,2000000,3941994,2017,25-Aug-17
Bernie,MNE,"Biography,Comedy,Crime",10106975,9204489,902486,6000000,4106975,2012,27-Apr-12
Bernie,MNE,Family,10106975,9204489,902486,6000000,4106975,2012,27-Apr-12
Mustang,Cohen,Drama,5552584,845464,4707120,1400000,4152584,2015,20-Nov-15
Dear White People,RAtt.,"Comedy,Drama,Romance",5403771,4404154,999617,1250000,4153771,2014,17-Oct-14
Knock Knock,LGP,"Drama,Thriller",6328516,36336,6292180,2000000,4328516,2015,9-Oct-15
Knock Knock,LGP,Horror,6328516,36336,6292180,2000000,4328516,2015,9-Oct-15
Furry Vengeance,Sum.,"Comedy,Family",39340177,17630465,21709712,35000000,4340177,2010,30-Apr-10
The Darkest Minds,Fox,"Action,Adventure,Drama",38361428,12695691,25665737,34000000,4361428,2018,3-Aug-18
Incarnate,BH Tilt,"Horror,Thriller",9371036,4799774,4571262,5000000,4371036,2016,2-Dec-16
The Spectacular Now,A24,"Comedy,Drama,Romance",6916951,6852971,63980,2500000,4416951,2013,2-Aug-13
Martha Marcy May Marlene,FoxS,"Drama,Mystery,Thriller",5438911,2981038,2457873,1000000,4438911,2011,21-Oct-11
Compadres,PNT,"Action,Comedy,Crime",7445044,3127773,4317271,3000000,4445044,2016,22-Apr-16
Charlie St. Cloud,Uni.,"Drama,Fantasy,Romance",48478084,31206263,17271821,44000000,4478084,2010,30-Jul-10
The Raven,Rela.,"Crime,Mystery,Thriller",30601801,16008272,14593529,26000000,4601801,2012,27-Apr-12
The Skeleton Twins,RAtt.,"Comedy,Drama,Romance",5797192,5284309,512883,1000000,4797192,2014,12-Sep-14
Draft Day,LG/S,"Drama,Sport",29847480,28842237,1005243,25000000,4847480,2014,11-Apr-14
The Losers,WB,"Action,Adventure,Crime",29863840,23591432,6272408,25000000,4863840,2010,23-Apr-10
The Losers,WB,Drama,29863840,23591432,6272408,25000000,4863840,2010,23-Apr-10
Monsters,Magn.,,5639730,237301,5402429,500000,5139730,2010,29-Oct-10
